Regiosoort,Regionaam,23/03/2020,22/03/2020,21/03/2020,20/03/2020,19/03/2020,18/03/2020,17/03/2020,16/03/2020,15/03/2020,14/03/2020,13/03/2020,12/03/2020,11/03/2020,10/03/2020,09/03/2020,08/03/2020,07/03/2020,06/03/2020,05/03/2020,04/03/2020,03/03/2020,02/03/2020,01/03/2020
Land,Nederland,4749,4204,3631,2994,2460,2051,1705,1413,1135,959,776,602,498,381,321,265,185,125,78,38,23,0,0
Provincie,Noord-Brabant,1508,1358,1139,971,842,728,634,554,446,403,360,266,218,157,135,92,57,34,24,17,12,0,0
Provincie,Zuid-Holland,627,567,469,395,303,232,175,136,110,95,81,65,57,47,37,34,29,22,12,7,3,0,0
Gemeente,Aa en Hunze,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Aalsmeer,8,7,5,5,4,3,3,3,3,3,3,2,2,2,0,0,0,0,0,0,0,0,0
Gemeente,Aalten,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Achtkarspelen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Alblasserdam,4,4,3,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Albrandswaard,14,12,8,5,4,4,3,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
Gemeente,Alkmaar,16,15,11,10,9,5,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Gemeente,Almelo,7,5,4,3,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
Gemeente,Almere,18,14,11,5,5,4,3,3,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0
Gemeente,Alphen Chaam,14,9,7,6,6,6,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Alphen aan den Rijn,17,17,15,13,10,9,6,6,6,6,4,3,2,1,1,1,1,1,1,1,1,0,0
Gemeente,Altena,25,23,22,19,19,15,12,12,10,9,8,5,4,4,4,4,4,4,4,3,3,0,0
Gemeente,Ameland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Amersfoort,41,37,37,32,30,23,21,18,10,4,4,4,2,0,0,0,0,0,0,0,0,0,0
Gemeente,Amstelveen,29,27,26,22,13,7,6,4,3,3,3,2,2,2,2,1,1,0,0,0,0,0,0
Gemeente,Amsterdam,203,188,161,127,85,61,56,39,31,31,20,11,8,8,4,6,3,2,2,1,0,0,0
Gemeente,Apeldoorn,26,17,16,13,11,10,7,7,3,3,2,2,1,0,0,0,0,0,0,0,0,0,0
Gemeente,Appingedam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Arnhem,20,16,15,13,10,9,8,7,7,4,4,4,3,2,2,3,1,1,0,0,0,0,0
Gemeente,Assen,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Asten,5,5,5,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Baarle Nassau,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Baarn,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Barendrecht,13,10,9,5,4,3,3,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Barneveld,10,9,8,8,6,5,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Beek,5,5,5,5,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Beekdaelen,20,19,19,19,18,18,15,13,12,9,8,8,8,5,4,2,2,1,0,0,0,0,0
Gemeente,Beemster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Beesel,5,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Berg en Dal,33,30,25,20,18,14,14,10,6,6,5,3,3,1,0,0,0,0,0,0,0,0,0
Gemeente,Bergeijk,3,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Gemeente,Bergen L,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Bergen Nh,9,8,6,4,4,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Bergen op Zoom,12,10,9,8,6,5,5,4,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0
Gemeente,Berkelland,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Bernheze,62,57,41,37,30,26,20,19,16,15,13,4,2,2,2,1,1,0,0,0,0,0,0
Gemeente,Best,14,14,11,8,6,6,5,4,3,3,3,3,3,2,2,2,1,1,1,0,0,0,0
